-122.2441614,37.8583186,2928,DOMINGO AV,,BERKELEY,,,94705,64-4235-5-1,d93de223be645e13
-122.2918179,37.8594439,2560,NINTH ST,117M,BERKELEY,,,94710,54-1778-2-2,fcfba98d907cb394
-122.2863659,37.8603567,1214,BLAKE ST,,BERKELEY,,,94702,54-1789-19,f692fa2413e78bb0
-122.2844668,37.8611313,1319,BLAKE ST,,BERKELEY,,,94702,054 178301100,b69657897984c0c6
-122.267334,37.8678351,2105,BANCROFT WY,,BERKELEY,,,94704,57-2029-9,cb9c70bc13db313e
-122.2750599,37.856893,2817,MCGEE AVE,,BERKELEY,,,94703,053 167502100,44130abe25b67775
-122.2765558,37.8695737,2112,ROOSEVELT AV,F,BERKELEY,,,94703,56-2010-8,82cf889916f407d0
-122.2757497,37.8512236,1611,WOOLSEY ST,,BERKELEY,,,94703,052 154501500,feb391c38d6b4061
-122.277907,37.8883628,1010,FRESNO AV,,BERKELEY,,,94707,61-2610-7,e216614abe3e4e5f
-122.2786622,37.8480624,1419,ALCATRAZ AV,,BERKELEY,,,94702,52-1519-2-3,8ae33039a4ddd9b5
